Абсент	0.0	0.0	8.8	171
Свекольный сок	Свекольный сок	1.0	0.0	9.9	42
Сливовый компот	Сливовый компот	0.5	0.0	23.9	96
Сливовый нектар	Сливовый нектар	0.1	0.0	11.0	46
Сливовый сок	Сливовый сок	0.8	0.0	9.6	39
Сок киви	Сок киви	0.0	0.3	10.0	41
Сок нони	Сок нони	0.1	0.3	10.0	44
Сок овощная смесь Золотая Русь	Сок овощная смесь Золотая Русь	0.0	0.0	5.0	20
Сок овощная смесь Тонус Active	Сок овощная смесь Тонус Active	0.0	0.0	6.2	25
Сок овощной Mr. Овощ с солью, сладким перцем и чесноком	Сок овощной Mr. Овощ с солью, сладким перцем и чесноком	0.0	0.0	5.0	20
Сок папайи	Сок папайи	0.4	0.1	13.3	51
Сок петрушки	Сок петрушки	3.7	0.4	7.6	49
Сок сельдерея	Сок сельдерея	0.7	0.3	4.8	31
Сок шпината	Сок шпината	2.8	0.3	1.4	21
Томатный сок	Томатный сок	1.1	0.2	3.8	21
Томатный сок J-7 с мякотью	Томатный сок J-7 с мякотью	0.2	0.0	5.3	22
Тыквенный сок	Тыквенный сок	0.0	0.0	9.0	38
Черешневый компот	Черешневый компот	0.5	0.0	19.9	78
Черничный сок	Черничный сок	0.0	1.0	8.0	38
Черноплодно-рябиновый сок	Черноплодно-рябиновый сок	0.1	0.0	7.4	32
Черносмородиновый компот	Черносмородиновый компот	0.3	0.1	13.9	58
Черносмородиновый сок	Черносмородиновый сок	0.5	0.0	7.9	40
Шиповниковый сок	Шиповниковый сок	0.1	0.0	17.6	70
Яблочный компот	Яблочный компот	0.2	0.0	22.1	85
Яблочный нектар	Яблочный нектар	0.1	0.0	10.0	41
Яблочный сок	Яблочный сок	0.4	0.4	9.8	42
